open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1672552800000,16530.71000000,16543.69000000,16528.81000000,16537.72000000,949.23319000,1672553699999,15697183.10733080,29580,483.27442000,7991767.93811020,0
1672553700000,16538.05000000,16550.00000000,16537.64000000,16544.63000000,976.15533000,1672554599999,16150429.80917060,28733,447.20343000,7398976.44083790,0
1672554600000,16545.02000000,16545.96000000,16538.41000000,16544.68000000,700.60455000,1672555499999,11589528.49161230,22882,332.11182000,5493880.09998800,0
1672555500000,16544.38000000,16546.93000000,16538.46000000,16539.79000000,718.90899000,1672556399999,11892419.24533740,24879,362.57212000,5997832.57870480,0
1672556400000,16539.79000000,16544.57000000,16522.42000000,16530.26000000,1473.82665000,1672557299999,24367038.24000490,41726,682.32621000,11281212.47026330,0
1672557300000,16530.82000000,16530.82000000,16499.01000000,16522.78000000,1815.73002000,1672558199999,29979612.59377820,44744,853.55546000,14093113.45046650,0
1672558200000,16522.28000000,16529.98000000,16504.17000000,16525.24000000,973.59913000,1672559099999,16082222.75759520,32022,491.60021000,8120648.25061750,0
1672559100000,16525.59000000,16532.37000000,16520.67000000,16526.19000000,921.80242000,1672559999999,15234718.33832060,30053,449.10827000,7422599.19394720,0
1672560000000,16525.70000000,16534.03000000,16516.78000000,16518.19000000,1154.72646000,1672560899999,19082091.56206450,34806,537.07238000,8875499.27690700,0
1672560900000,16518.19000000,16525.88000000,16513.24000000,16523.23000000,991.67781000,1672561799999,16383134.10179480,33075,502.13082000,8295686.56040800,0
1672561800000,16522.83000000,16527.11000000,16509.30000000,16510.68000000,1045.51261000,1672562699999,17269824.91324630,34198,484.82409000,8008517.70207790,0
1672562700000,16510.68000000,16517.35000000,16508.45000000,16513.34000000,1080.00335000,1672563599999,17833332.88067710,33526,568.37541000,9385316.55462090,0
1672563600000,16513.33000000,16515.23000000,16505.20000000,16514.75000000,1004.21866000,1672564499999,16580291.10279510,32623,513.75618000,8482555.64239340,0
1672564500000,16515.11000000,16522.63000000,16511.96000000,16514.23000000,999.24874000,1672565399999,16505118.25278430,33086,492.05075000,8127511.33274410,0
1672565400000,16514.64000000,16533.12000000,16514.22000000,16531.85000000,883.55127000,1672566299999,14599843.26939180,29912,454.19390000,7504919.10589270,0
1672566300000,16531.85000000,16542.49000000,16525.62000000,16537.88000000,1213.73182000,1672567199999,20068943.35723780,38449,643.34056000,10637689.60872680,0
1672567200000,16538.32000000,16543.14000000,16533.42000000,16542.85000000,1179.05514000,1672568099999,19497873.95069670,37082,621.87268000,10284054.29547150,0
1672568100000,16542.60000000,16547.38000000,16539.98000000,16544.07000000,801.48739000,1672568999999,13259520.97388020,28817,397.16149000,6570559.45198170,0
1672569000000,16543.69000000,16544.75000000,16533.79000000,16539.58000000,970.78802000,1672569899999,16055305.44049090,31056,481.43639000,7962275.58140960,0
1672569900000,16539.83000000,16548.71000000,16538.12000000,16548.34000000,852.43561000,1672570799999,14100819.61096320,31090,437.61808000,7239075.12015120,0
1672570800000,16547.98000000,16552.67000000,16545.05000000,16547.92000000,1003.64870000,1672571699999,16609492.80594060,36051,507.50188000,8398798.21938810,0
1672571700000,16547.56000000,16547.96000000,16540.20000000,16544.56000000,825.55748000,1672572599999,13658484.74556360,31394,387.10965000,6404613.88414400,0
1672572600000,16544.56000000,16552.03000000,16542.14000000,16550.95000000,922.90734000,1672573499999,15272199.05399940,32845,474.73545000,7856007.40673270,0
1672573500000,16550.59000000,16557.00000000,16547.51000000,16556.66000000,987.41661000,1672574399999,16343716.17477010,33748,501.05217000,8293510.85993770,0
1672574400000,16556.66000000,16572.42000000,16548.58000000,16564.36000000,1460.27557000,1672575299999,24179211.19196400,44573,734.43079000,12160889.01894700,0
1672575300000,16564.37000000,16570.06000000,16557.08000000,16564.27000000,1103.00695000,1672576199999,18269115.09275130,38145,549.48867000,9101266.07519480,0
1672576200000,16564.06000000,16572.94000000,16555.00000000,16556.92000000,834.02210000,1672577099999,13811755.47982660,31199,399.39268000,6614094.57747220,0
1672577100000,16556.92000000,16562.99000000,16555.20000000,16560.93000000,753.18102000,1672577999999,12473256.29100320,32883,381.61772000,6319924.33503820,0
1672578000000,16561.29000000,16567.26000000,16550.36000000,16554.25000000,1145.15541000,1672578899999,18964022.53017480,39205,566.19917000,9376463.27352680,0
1672578900000,16554.24000000,16555.38000000,16541.27000000,16550.92000000,1042.74296000,1672579799999,17255761.48502790,36390,482.16172000,7979107.29546450,0
1672579800000,16550.92000000,16552.00000000,16539.05000000,16542.55000000,1412.34854000,1672580699999,23367293.40164420,45231,687.59794000,11376477.97325690,0
1672580700000,16542.55000000,16549.04000000,16539.90000000,16548.04000000,779.43512000,1672581599999,12896120.89261490,30380,396.29900000,6557031.35385480,0
1672581600000,16547.61000000,16554.63000000,16545.34000000,16553.11000000,981.49152000,1672582499999,16244050.35817730,30317,508.73162000,8419738.90165290,0
1672582500000,16553.56000000,16558.19000000,16552.59000000,16556.53000000,650.21299000,1672583399999,10764182.00360940,26189,342.06328000,5662876.43688650,0
1672583400000,16556.15000000,16558.56000000,16546.83000000,16548.00000000,700.31519000,1672584299999,11592269.83968970,23645,340.35789000,5633969.95603150,0
1672584300000,16547.67000000,16552.98000000,16540.85000000,16542.94000000,962.97123000,1672585199999,15934513.34087580,30261,469.83933000,7774697.75542640,0
1672585200000,16542.94000000,16549.78000000,16542.45000000,16549.57000000,751.45334000,1672586099999,12433812.67795620,29079,403.92867000,6683634.00253360,0
1672586100000,16549.57000000,16549.66000000,16533.68000000,16542.89000000,1016.16476000,1672586999999,16808644.46520290,31220,491.85556000,8135895.56739060,0
1672587000000,16543.28000000,16549.14000000,16542.00000000,16548.82000000,541.99361000,1672587899999,8967381.69156520,22149,290.42311000,4805146.81069680,0
1672587900000,16549.13000000,16559.99000000,16545.02000000,16558.73000000,911.32065000,1672588799999,15083124.64276350,29810,471.30808000,7800728.20815980,0
1672588800000,16558.73000000,16584.66000000,16558.00000000,16562.45000000,1739.58452000,1672589699999,28819198.78483130,47671,902.08442000,14944959.04573430,0
1672589700000,16562.45000000,16579.46000000,16562.45000000,16577.68000000,1172.91410000,1672590599999,19435835.67655920,38042,595.96131000,9875464.72781500,0
1672590600000,16578.16000000,16584.30000000,16559.56000000,16566.21000000,1153.73058000,1672591499999,19120168.89153780,35692,573.15758000,9498898.42325290,0
1672591500000,16565.74000000,16573.60000000,16561.32000000,16565.14000000,895.90315000,1672592399999,14842032.80768650,30812,443.62017000,7349331.61311510,0
1672592400000,16565.13000000,16572.00000000,16562.51000000,16570.23000000,919.09833000,1672593299999,15227523.48074480,31966,477.68078000,7914287.86352920,0
1672593300000,16570.23000000,16596.64000000,16569.13000000,16582.65000000,1938.04057000,1672594199999,32139142.88325560,56277,1012.07754000,16783935.97834580,0
1672594200000,16582.65000000,16589.52000000,16572.11000000,16584.08000000,969.40914000,1672595099999,16072748.16886900,33567,500.67311000,8301256.65781500,0
1672595100000,16584.56000000,16586.50000000,16576.34000000,16578.85000000,887.85550000,1672595999999,14721599.81902610,30083,405.23208000,6719276.29294690,0
1672596000000,16579.25000000,16603.89000000,16578.85000000,16593.29000000,1683.80908000,1672596899999,27940644.45991550,50459,915.95464000,15199246.88914120,0
1672596900000,16592.74000000,16595.87000000,16587.02000000,16594.11000000,711.88361000,1672597799999,11811221.68466950,28448,356.20881000,5910135.99425420,0
1672597800000,16593.68000000,16599.34000000,16589.52000000,16596.10000000,886.16464000,1672598699999,14705617.37323010,31976,459.16083000,7619703.86367190,0
1672598700000,16596.10000000,16598.10000000,16586.20000000,16591.88000000,864.51512000,1672599599999,14343215.37362150,30523,424.78454000,7047699.22588740,0
1672599600000,16591.35000000,16607.80000000,16591.34000000,16606.72000000,1096.28625000,1672600499999,18199854.77125310,37558,577.97564000,9595218.27554070,0
1672600500000,16607.39000000,16623.65000000,16601.47000000,16618.35000000,1552.73965000,1672601399999,25794124.34547600,46456,793.99464000,13190053.37540350,0
1672601400000,16617.84000000,16623.17000000,16610.00000000,16614.28000000,911.82605000,1672602299999,15152213.01306710,31807,467.30113000,7765507.94952050,0
1672602300000,16614.28000000,16614.94000000,16592.76000000,16603.08000000,1148.88828000,1672603199999,19076820.99102360,33159,531.53793000,8826105.34548960,0
