open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1672536000000,1195.37000000,1195.61000000,1195.01000000,1195.60000000,248.58740000,1672536299999,297100.34697900,678,135.45880000,161889.30532600,0
1672536300000,1195.60000000,1195.61000000,1195.29000000,1195.45000000,171.77270000,1672536599999,205333.82408800,573,64.08990000,76610.84992000,0
1672536600000,1195.45000000,1195.47000000,1195.13000000,1195.14000000,212.30660000,1672536899999,253765.65952800,546,92.93410000,111081.55850400,0
1672536900000,1195.14000000,1195.58000000,1194.72000000,1194.73000000,363.28380000,1672537199999,434159.79370800,775,208.06590000,248649.45896500,0
1672537200000,1194.73000000,1195.32000000,1194.72000000,1194.92000000,239.95880000,1672537499999,286771.00817400,645,125.60580000,150103.79443700,0
1672537500000,1194.92000000,1195.54000000,1194.92000000,1195.53000000,112.18930000,1672537799999,134090.29961700,518,83.44830000,99740.79779500,0
1672537800000,1195.54000000,1195.70000000,1195.26000000,1195.35000000,209.07550000,1672538099999,249936.98445600,720,124.60100000,148944.13523200,0
1672538100000,1195.35000000,1196.37000000,1195.35000000,1196.02000000,310.48280000,1672538399999,371355.08423900,848,138.48750000,165620.38250600,0
1672538400000,1196.01000000,1196.02000000,1194.11000000,1194.21000000,1109.81810000,1672538699999,1325894.16649700,1192,417.41270000,498606.06346200,0
1672538700000,1194.21000000,1194.37000000,1194.20000000,1194.37000000,119.58200000,1672538999999,142813.79760500,549,69.89840000,83477.28292400,0
1672539000000,1194.36000000,1195.44000000,1194.12000000,1195.22000000,466.10400000,1672539299999,556779.23601300,793,258.39160000,308651.91595100,0
1672539300000,1195.21000000,1195.38000000,1195.02000000,1195.33000000,121.88270000,1672539599999,145667.89764200,685,84.16310000,100585.92849600,0
1672539600000,1195.33000000,1195.64000000,1195.18000000,1195.38000000,375.60970000,1672539899999,449015.76395900,745,185.46260000,221706.82493500,0
1672539900000,1195.38000000,1196.13000000,1195.38000000,1196.12000000,277.61750000,1672540199999,331985.16682600,784,148.17540000,177176.79315300,0
1672540200000,1196.13000000,1196.74000000,1196.05000000,1196.74000000,307.81620000,1672540499999,368259.49757100,789,217.30270000,259972.81353700,0
1672540500000,1196.74000000,1196.74000000,1195.90000000,1195.90000000,251.83580000,1672540799999,301282.02045800,595,61.29030000,73303.70074000,0
1672540800000,1195.90000000,1195.91000000,1195.27000000,1195.27000000,186.28200000,1672541099999,222738.79948100,557,41.12550000,49169.84289400,0
1672541100000,1195.28000000,1195.71000000,1195.27000000,1195.66000000,175.97130000,1672541399999,210381.30155900,583,139.41540000,166674.08354200,0
